,R-squared,MSE,MAE
Linear Regression,0.694348805994476,622.3638513115992,19.28496107799838
Random Forest,0.776150381836897,455.8003148913001,14.822417666666666
Gradient Boosting,0.7721596249618305,463.92625343538356,15.442446007267991
